annotation_instance_id	annotator_id	error_tag_leaf	template_id	source	corrected	feedback_explanation	feedback_suggestion
batch_1_001	a_1	Causative	Causative_00	Sometimes, this can change a person, making that her or him have a new perception of the world.	Sometimes, this can change a person, making [NONE] her or him have a new perception of the world.	When using "make" to describe something causing another to do an action, the pattern "make + person/thing + verb (base form)" is used.	Remove "that" to make this follow the causative pattern.
batch_1_002	a_1	Expressions of Place	Expressions of Place_00	Except for [NONE] the big cities, public transport is not an easy way to get around the city. That means that in the future even more people will stop using it.	Except for in the big cities, public transport is not an easy way to get around the city. That means that in the future even more people will stop using it.	You need a prepositional phrase or adverb to express where something is true or where something happens.	Add "in" before "the big cities" to focus on how things are there.
batch_1_003	a_1	Infinitive	Infinitive_02	Second, for the indoor swimming pool, it generally appear wavy falling, from 2500 dollars in 2012 to 2000 dollars in 2014. We can infer, it will not rise sharply, and it is impossible for it to fall sharply.	Second, for the indoor swimming pool, it generally appears to be wavy falling, from 2500 dollars in 2012 to 2000 dollars in 2014. We can infer, it will not rise sharply, and it is impossible for it to fall sharply.	Words like "seem" and "appear" can not connect to an -ing verb directly.	Use the infinitive "to be" as a connector.
batch_1_005	a_1	Tense: Continuous Aspect	Tense: Continuous Aspect_02	We gathering around the table on this day and wait for the spring in the last moments of the year.	We gather around the table on this day and wait for the spring in the last moments of the year.	When describing something you usually do, use the simple present, not the present continuous.	Change "gathering" to the simple present form.
batch_1_007	a_2	Participle	Participle_00	The moral is about students don't be naïve and being careful of unscrupulous men that sell drugs.	The moral is about students not being naïve and being careful of unscrupulous men that sell drugs.	The verb should be changed to a participle to modify the noun "students."	Change "don't be" to its present participle form.
batch_1_009	a_1	Subject-Verb Agreement	Subject-Verb Agreement_00	I think one of my favorite sports of all is athletics. I love it because it is a sport where you prove yourself, you have to be better every day than you were yesterday. It force you to improve every time. Also, it is an exercise that helps your whole body, especially the legs, because it gives them great strength, but also your hands, because they have to be in constant movement, and all the body in general, because you run and your metabolism is accommodated and helps you to have coordination.	I think one of my favorite sports of all is athletics. I love it because it is a sport where you prove yourself, you have to be better every day than you were yesterday. It forces you to improve every time. Also, it is an exercise that helps your whole body, especially the legs, because it gives them great strength, but also your hands, because they have to be in constant movement, and all the body in general, because you run and your metabolism is accommodated and helps you to have coordination.	The subject, "it," is in the third person singular. The verb must be in a different form to match with it.	Change "force" to a form that goes with a third-person singular subject.
batch_1_010	a_1	Vocabulary Choice	Vocabulary Choice_02	I thought that writing an article on my favourite sport would be interesting for the readers. Above all, and making no differences of the sport you have chosen, it is paramount to do some sport, whatever sport you choose, such as spinning. That is my favourite sport.	I thought that writing an article on my favourite sport would be interesting for the readers. Above all, and regardless of the sport you have chosen, it is paramount to do some sport, whatever sport you choose, such as spinning. That is my favourite sport.	"Making no differences of" does not sound natural here.	Try using another term such as "regardless of."
batch_1_011	a_2	Modal	Modal_03	In addition, we could play outdoor games and they may do landscape painting.	In addition, we could play outdoor games and they could do landscape painting.	"May" might not be the best modal to use here. It is used for permission or possibility more than describing potential options.	Instead of "may," consider using "could" here.
batch_1_012	a_1	Tense: Tense Choice	Tense: Tense Choice_00	Sukh was so angry with him because he hurt her a lot. Sukh refused to give him her laptop and her brother start fighting with her again and he even slapped his sister.	Sukh was so angry with him because he hurt her a lot. Sukh refused to give him her laptop and her brother started fighting with her again and he even slapped his sister.	To talk about something that happened in the past, use the past tense of the verb.	Change "start" to the past tense.
batch_1_013	a_1	Subject-Verb Agreement	Subject-Verb Agreement_00	I miss you so much. How are your baby?	I miss you so much. How is your baby?	The subject, "your baby" is in the third person singular. The verb must be in a different form to match with it.	Change "are" to a form that goes with a third-person singular subject.
batch_1_014	a_2	Plural vs. Singular: Noun Number	Plural vs. Singular: Noun Number_01	In the past, people bought thing, and they didn't care how dangerous they were for the planet.	In the past, people bought things, and they didn't care how dangerous they were for the planet.	Use the plural form when referring to a general group. Also, be aware that plural subjects generally take actions upon plural objects.	Change the word "thing" to its plural form.
batch_1_015	a_1	Causative	Causative_00	Finally, the kind of life that we will see in fifty years from now will have a lot of stuff to help people to have a more comfortable, easier and faster way of life, but this will be only to make more money and consume more and more. Also, things will be faster of waste to make people to change their possessions more often and stimulate consumerism.	Finally, the kind of life that we will see in fifty years from now will have a lot of stuff to help people to have a more comfortable, easier and faster way of life, but this will be only to make more money and consume more and more. Also, things will be faster of waste to make people [NONE] change their possessions more often and stimulate consumerism.	When using "make" to describe something causing another to do an action, the pattern "make + person/thing + verb (base form)" is used.	Remove "to" to make this satisfy the causative pattern.
batch_1_016	a_1	General Collocations	General Collocations_00	Talking about your new job, I was searching for some vacancies. However, they required a full - time worker, so I am going to continue searching for some jobs of part - time.	Talking about your new job, I was searching for some vacancies. However, they required a full - time worker, so I am going to continue searching for some part - time jobs.	"Jobs of part time" does not sound natural.	It is better to say "part-time jobs."
batch_1_017	a_2	Pronoun Antecedent	Pronoun Antecedent_00	For example, now high - heeled shoes are very trendy but they cost a lot and most women don't look good in it.	For example, now high - heeled shoes are very trendy but they cost a lot and most women don't look good in them.	The pronoun "it" refers to "shoes," so it should be a plural pronoun.	Change "it" to be plural.
batch_1_018	a_1	Part-of-Speech Confusion	Part-of-Speech Confusion_01	They learn and understand very good English.	They learn and understand English very well.	"Good" is an adjective, but it seems to be modifying "understand." An adverb should be used instead.	Use "well" instead of "good" to describe how an action is done.
