template_id,error_tag,template_index,template_note,template_explanation,template_suggestion,is_direct,template_origin
Part-of-Speech Confusion_00,Part-of-Speech Confusion,0,General part-of-speech replacement,"""{error_word(s)}"" is {a || an} {error_word(s)_part_of_speech}, but we need {a || an} {suggested_word(s)_part_of_speech} here.","Change ""{error_word(s)}"" to {a || an} {suggested_word(s)_part_of_speech} like ""{suggested_word(s)}.""",True,Guidelines
Part-of-Speech Confusion_01,Part-of-Speech Confusion,1,Part-of-speech change to modify a word,"""{error_word(s)}"" is {a || an} {error_word(s)_part_of_speech}, but we need {a || an} {suggested_word(s)_part_of_speech} to modify ""{context_word(s)}.""","Change ""{error_word(s)}"" to {a || an} {suggested_word(s)_part_of_speech} like ""{suggested_word(s)}.""",True,Guidelines
Vocabulary Choice_00,Vocabulary Choice,0,Direct word correction; words somewhat similar; definitions/usage worth explaining,"""{error_word(s)}"" might not be the best {word || phrase} to use here. It is mostly used {error_word(s)_usage}, not {suggested_word(s)_usage}.","Consider using ""{suggested_word(s)}"" instead of ""{error_word(s)}.""",True,Pilot
Vocabulary Choice_01,Vocabulary Choice,1,Intended meaning unclear; correction confidence low; broad retry suggestion,"""{error_word(s)}"" does not sound natural here.",Consider what you want to say and try another {word || phrase} instead.,False,Pilot
Vocabulary Choice_02,Vocabulary Choice,2,Direct word correction; Definitions omitted as unnecessary or too complex,"""{error_word(s)}"" does not sound natural here.","Consider using another {word || phrase} here, such as""{suggested_word(s)}.""",True,Pilot
Fixed Expressions_00,Fixed Expressions,0,Phrase wrong; the correct phrase is...,"The correct phrasing for this expression is ""{suggested_phrasing}.""","Change ""{error_word(s)}"" to ""{suggested_word(s)}.""",True,Guidelines
Fixed Expressions_01,Fixed Expressions,1,Phrase wrong; add word,"The correct phrasing for this expression is ""{suggested_phrasing}.""","Add ""{suggested_word(s)}"" to fix this phrase.",True,Guidelines
General Collocations_00,General Collocations,0,Simple unnatural combination,"It does not sound natural to use ""{error_word(s)}"" with ""{context_word(s)}.""","Try ""{suggested_word(s)}"" instead of ""{error_word(s)}.""",True,Guidelines
Phrasal Verbs_00,Phrasal Verbs,0,Wrong/dropped particle in phrasal verb,"""{error_word(s)}"" does not fit here. You might be thinking of the phrasal verb ""{suggested_phrasal_verb},"" which means ""{suggested_phrasal_verb_meaning}.","{Consider using ""{suggested_word(s)}"" instead of ""{error_word(s)}."" || Add ""{suggested_word(s)}"" to form this phrasal verb.}",True,Guidelines
Phrasal Verbs_01,Phrasal Verbs,1,Phrasal verb separability with pronouns,"If the object of the phrasal verb ""{context_word(s)}"" is a pronoun, it must come between the verb and particle.",Change the word order to verb + pronoun + particle.,False,Guidelines
Phrasal Verbs_02,Phrasal Verbs,2,Separability (phrasal verb is inseparable),"""{suggested_word(s)}"" is an inseparable phrasal verb, so the object must come after it.",Change the word order to verb + particle(s) + object.,False,Guidelines
Verb + Preposition + Argument_00,Verb + Preposition + Argument,0,Wrong Preposition to connect to verb argument,"""{context_word(s)}"" needs a different preposition to connect to its object.","Change ""{error_word}"" to ""{suggested_word}.""",True,Guidelines
Verb + Preposition + Argument_01,Verb + Preposition + Argument,1,Missing Preposition to connect to verb argument,"""{context_word(s)_1}"" needs a preposition to connect to its object ""{context_word(s)_2}.""","Add ""{suggested_word(s)}"" between ""{context_word(s)_1}"" and ""{context_word(s)_2} to connect them.""",True,Guidelines
Verb + Preposition + Argument_02,Verb + Preposition + Argument,2,Unnecessary Preposition to connect to verb argument,"""{context_word(s)}"" does not need a preposition to connect to its object.",Remove {error_word(s)}.,True,Guidelines
Articles with Exceptional Words_00,Articles with Exceptional Words,0,Common collocative zero article,"Some nouns do not use articles. Some common examples are ""work,"" ""school,"" or ""home"" when you talk about them in your daily life.","Remove the article ""{error_word}.""",True,Guidelines
Articles with Exceptional Words_01,Articles with Exceptional Words,1,Article use as part of proper noun,"You are missing the article ""{suggested_word}"" before ""{context_word(s)}."" Many {context_word(s)_proper_noun_group} include ""{suggested_word}.""","Add ""{suggested_word}"" before ""{context_word(s)}""",True,Guidelines
